stock1,stock2,trade_capital,open,loss,reward,open_num
1402,3019,201.03725000000003,1.8079859466287909,5.99999999999997,0.38245000000001994,1
1303,9910,272.973,1.8079859466287909,5.99999999999997,0.3680000000000234,1
1314,2204,100.5432,1.8079859466287909,5.99999999999997,0.23710000000002296,1
1536,2610,184.275,1.4616844455470226,11.091664599354965,0.6913750000000007,1
2002,2103,153.89775,2.9250000000000016,20.10344827586205,0.1133000000000024,1
2002,3019,217.9615,1.8079859466287909,5.99999999999997,0.40425000000000466,1
2103,3019,173.31725,1.8079859466287909,5.99999999999997,0.42865000000001885,1
2201,2354,189.55125,1.8079859466287909,5.99999999999997,-0.04744999999998356,1
2201,2371,83.82375,1.8079859466287909,5.99999999999997,0.12100000000000932,1
2201,2881,90.94395,1.8079859466287909,5.99999999999997,0.25645000000001517,1
2201,2886,43.846175,2.9250000000000016,20.10344827586205,0.08055000000000234,1
2201,3443,390.365,1.4616844455470226,11.091664599354965,0.6466250000000002,1
2201,9938,235.64600000000002,1.4616844455470226,11.091664599354965,1.396000000000015,1
2344,3019,209.7,1.1433818417759427,7.290679890624436,0.8986250000000098,1
2603,3019,181.074,2.2011242403781104,9.193923024983164,0.46125000000002103,1
2882,3019,463.995,1.9903685727286529,4.999999999999846,1.2665000000000362,1
2881,3045,441.379,1.8079859466287909,5.99999999999997,0.7987500000000125,1
