stock1,stock2,reward,theshold choose
1303,2337,0,0
1303,2347,0,0
1303,2492,0,0
1402,1717,0,0
1402,1909,0,0
1402,2105,0,0
1402,2311,-0.00039999999999196234,0
1402,2324,0,0
1402,2330,0,0
1402,2337,0,0
1402,2347,0,0
1402,2409,0.16542499999999905,1
1402,2448,0,0
1402,2492,0,0
1402,2812,0,0
1402,2884,0,0
1101,1402,0,0
1101,1717,0,0
1101,2105,0,0
1101,2303,0,0
1101,2324,0,0
1101,2330,0,0
1101,2337,0,0
1101,2352,0,0
1101,2356,0,0
1101,2409,0,0
1101,2881,0,0
1101,2885,0,0
1101,3231,0,0
1101,3682,-0.6560749999999729,0
1717,2002,0,0
1717,2105,0,0
1717,2303,0,0
1717,2317,0,0
1717,2409,0.400375000000011,1
1717,2885,0.30945000000000533,1
1717,3231,0.12912500000000904,1
1717,3682,0.13210000000000832,1
2002,2311,0.3229000000000042,1
2002,2337,0,0
2002,2382,0.5886250000000075,1
2002,2454,1.2160000000000366,1
2002,2884,0,0
2002,2885,0.09862500000000196,1
2002,3231,0,0
1909,2002,-0.3189999999999884,0
1909,2049,0.1276250000000232,1
1909,2105,-0.17302499999999554,0
1909,2106,-0.0977749999999844,0
1909,2303,-0.11204999999999643,0
1909,2324,-0.07634999999999792,0
1909,2337,-0.15520000000000067,0
1909,2347,0,0
1909,2352,-0.13739999999999064,0
1909,2356,-0.08219999999999672,0
1909,2454,-1.4818749999999739,0
1909,2474,0.29212500000002706,1
1909,2492,0.1830500000000015,1
1909,2823,0.011875000000006963,1
1909,2881,0,0
1909,3231,0.18062500000002046,1
1909,3682,0.34737499999999955,1
1909,3702,-0.13257499999998856,0
1909,4958,0.07972500000001048,1
1909,5264,0.20037500000000819,1
2049,2324,-0.3997499999999832,0
2049,2454,-0.13649999999998386,0
2049,2884,0,0
2049,3231,0.5770000000000266,1
2049,3682,0.1640000000000157,1
2105,2106,0,0
2105,2303,0,0
2105,2311,0,0
2105,2324,0,0
2105,2330,0,0
2105,2337,0,0
2105,2347,0,0
2105,2352,0,0
2105,2356,0,0
2105,2382,0,0
2105,2409,0,0
2105,2412,0,0
2105,2448,0.42250000000000654,1
2105,2449,0.5072500000000133,1
2105,2454,0,0
2105,2492,0,0
2105,2812,0,0
2105,2881,0,0
2105,2884,0,0
2105,2885,0,0
2105,3231,0.13005000000001843,1
2105,3682,0.31595000000000084,1
2105,4958,0.09095000000004916,1
2105,5264,0,0
2105,9914,0.28750000000005116,1
2106,2311,-0.5061499999999555,0
2106,2324,0,0
2106,2356,0,0
2106,2867,0.1843250000000296,1
2106,2881,0,0
2106,2884,0,0
2106,3231,0,0
2106,3682,0.1714500000000001,1
2106,4958,-0.3002499999999486,0
2106,5264,1.6976000000000226,1
2204,2311,0,0
2204,2345,0.11730000000001439,1
2204,2347,0.2663000000000082,1
2204,2454,0.2073750000000274,1
2204,2823,0.26602500000001683,1
2204,3682,0,0
2303,2311,0.4035250000000019,1
2303,2356,0.20702500000000867,1
2303,2823,0,0
2303,2884,0,0
2303,2885,0.3588500000000039,1
2303,3231,0,0
2303,4958,0,0
2311,2317,0,0
2311,2330,0,0
2311,2337,0,0
2311,2345,0.1149249999999995,1
2311,2356,-0.032649999999982526,0
2311,2881,0,0
2311,2885,0.3539750000000055,1
2311,3231,0.3232750000000095,1
2311,3682,0,0
2317,2454,0,0
2317,2885,0,0
2317,3682,0.28565000000000396,1
2317,3702,0,0
2317,4958,0,0
2317,5264,0,0
2317,9910,0,0
2345,3682,0.2910000000000039,1
2330,2352,0,0
2330,2881,0,0
2330,2884,0,0
2330,3231,0,0
2330,3682,0.40312500000000284,1
2324,2330,0,0
2324,2337,-0.11074999999999946,0
2324,2345,0,0
2324,2352,0,0
2324,2356,0.15092500000000797,1
2324,2409,0,0
2324,2439,0.18162500000001103,1
2324,2449,0,0
2324,2474,0,0
2324,2492,-0.5144749999999974,0
2324,2603,0.29360000000000497,1
2324,2812,0,0
2324,2881,0,0
2324,2884,0,0
2324,2885,0,0
2324,3231,0.12290000000001555,1
2324,3682,0.0882000000000005,1
2324,3702,0,0
2324,5264,0.7021000000000015,1
2337,2347,0,0
2337,2356,-0.0402099999999983,0
2337,2382,0,0
2337,2454,1.0031750000000237,1
2337,2492,-0.5796500000000044,0
2337,3231,0,0
2337,4958,-0.5331999999999866,0
2347,2884,0,0
2347,3682,0.36335000000000406,1
2347,5264,0,0
2352,2881,0,0
2352,2884,0,0
2352,3682,0,0
2356,2382,0.2330000000000112,1
2356,2492,0.3764250000000047,1
2356,2867,0.12250000000001293,1
2356,2884,0,0
2356,3231,0,0
2356,4958,0,0
2356,5264,0.39375000000001137,1
