stock1,stock2,trade_capital,open,loss,reward,open_num
1504,2603,79.63037500000002,1.4000000000000008,20.0,0.1303750000000079,1
1504,2887,93.20997500000001,1.5000000000000009,5.0,0.15997500000000997,1
1504,2912,377.875,2.200000000000001,6.0,0.9112499999999955,1
1504,2915,118.507175,1.52,8.0,0.10687500000000583,1
1216,9910,570.78,1.8000000000000012,5.0,0.5464500000000498,1
1216,9914,338.39985,1.5000000000000009,5.0,0.2681000000000324,1
1227,3682,130.45440000000002,1.4800000000000009,11.0,0.04540000000000788,1
1723,2454,687.15,1.550000000000009,7.0,-4.640000000000015,1
1723,2823,224.755,1.8500000000000012,9.0,0.14675000000001148,1
1789,2002,154.713625,1.3500000000000008,7.0,0.060825000000008345,1
1789,2204,166.44995,1.8000000000000012,5.0,0.24995000000000545,1
1789,3706,158.20735,1.4000000000000008,20.0,0.29297500000000554,1
2002,2105,148.87965000000003,1.8500000000000012,9.0,0.1625500000000244,1
2002,2347,137.025,2.4000000000000017,10.0,-0.22837499999999267,1
2002,2912,339.078625,1.4000000000000008,20.0,-0.2963749999999976,1
2105,2912,583.6232500000001,1.550000000000009,7.0,1.1232500000000414,1
2105,3189,407.0884500000001,1.550000000000009,7.0,0.9884500000000571,1
2106,2308,495.25600000000003,1.5000000000000009,5.0,0.8560000000000514,1
2106,5871,294.21,2.4000000000000017,10.0,0.4083000000000112,1
2106,9910,652.7226,1.8000000000000012,5.0,0.8176000000000059,1
2313,2449,92.75025000000001,1.4000000000000008,20.0,0.04790000000001626,1
2324,2603,70.51820000000001,1.8500000000000012,9.0,0.09087500000000404,1
2324,2887,79.61760000000001,1.8500000000000012,9.0,0.12047500000000966,1
2324,5871,167.94,2.4000000000000017,10.0,0.3192000000000199,1
2352,2915,267.48,1.550000000000009,7.0,-1.0448999999999984,1
2353,2912,301.135625,1.8500000000000012,9.0,0.010625000000004547,1
2353,4904,143.905625,1.5000000000000009,5.0,0.3725250000000102,1
2347,2412,462.915,1.5000000000000009,5.0,1.2754000000000119,1
2347,2915,173.292475,1.5000000000000009,5.0,-0.18252499999999117,1
2354,3682,128.6571,1.52,8.0,0.048100000000012244,1
2354,3706,270.1392,1.550000000000009,7.0,0.274825000000007,1
2354,5871,326.53195000000005,2.0000000000000013,6.0,0.16795000000001892,1
2356,2412,144.133475,1.5000000000000009,5.0,0.28347500000000636,1
2356,9910,175.16265,1.5000000000000009,5.0,0.21140000000000114,1
2412,2881,636.6436,1.4000000000000008,20.0,1.5435999999999908,1
2412,2887,171.75287500000002,1.8500000000000012,9.0,0.4736250000000126,1
2408,2603,99.22900000000001,1.8500000000000012,9.0,-0.10419999999999874,1
2439,2887,138.22955000000002,1.4000000000000008,20.0,0.132425000000012,1
2439,2891,153.675,1.8500000000000012,9.0,0.14327500000001692,1
2439,2892,158.92955,1.5000000000000009,5.0,0.09792500000000359,1
2439,3682,130.2547,1.5000000000000009,5.0,0.24570000000000647,1
2439,9910,831.4798499999999,1.8000000000000012,5.0,1.22360000000009,1
2603,3706,50.82365,1.4000000000000008,20.0,0.17365000000000563,1
2603,5871,232.425,2.2500000000000018,5.0,0.4114250000000155,1
2603,9910,364.504,1.8500000000000012,9.0,0.6515000000000057,1
2454,2887,272.25,1.8500000000000012,9.0,0.29512500000002717,1
2454,3682,287.593,1.4800000000000009,11.0,2.0590000000000046,1
2449,2454,341.32500000000005,2.0000000000000013,6.0,-2.3162499999999966,1
2449,2603,140.31400000000002,1.8500000000000012,9.0,0.2766500000000107,1
2449,3706,53.569525000000006,1.8000000000000012,5.0,0.06952500000000583,1
2449,5871,272.97,2.1000000000000014,9.0,0.543550000000014,1
2884,2887,117.16787500000001,1.8500000000000012,9.0,0.21512500000001467,1
2884,3706,83.6743,2.0000000000000013,6.0,0.07430000000000803,1
2881,3682,89.98985,1.8500000000000012,9.0,0.40585000000000804,1
2886,2912,374.93675,1.4800000000000009,11.0,-0.3132499999999965,1
2890,2912,295.525,1.4800000000000009,11.0,0.29812500000000597,1
2887,2912,314.277875,1.5000000000000009,5.0,0.27787500000000875,1
2887,2915,109.65287500000001,1.8500000000000012,9.0,0.42772500000000946,1
2887,4904,140.039625,1.8500000000000012,9.0,0.13962500000000944,1
2887,5871,114.24287500000001,1.8000000000000012,5.0,0.1700750000000113,1
2887,9910,215.402875,1.5000000000000009,5.0,-0.09837499999999011,1
2912,2915,474.625,1.5000000000000009,5.0,1.25,1
2912,5871,497.125,1.8000000000000012,5.0,0.7110000000000127,1
2912,9914,1192.25,1.8500000000000012,9.0,1.5912500000000591,1
2915,9910,931.5,1.6500000000000008,16.0,1.3431500000000938,1
3044,9914,269.4035,1.3500000000000008,7.0,0.771000000000015,1
3231,3706,163.1253,1.550000000000009,7.0,-0.5629500000000007,1
3481,3706,162.10647500000002,1.5000000000000009,5.0,0.256475000000016,1
3189,3682,123.36505,1.4800000000000009,11.0,0.256050000000009,1
3706,9910,541.8000000000001,1.5000000000000009,5.0,0.5947500000000332,1
