stock1,stock2,model_type,w1,w2,pval,snr,mu,stdev,skewness,Emu,Estd,action
1402,2105,model3,-0.9125117306343298,0.08748826936567018,0.2391687538317597,0.9429108950373049,-3.1761067830885983,0.0009453098710601037,0.2318976834897445,-1.0114269756144318,0.0008826147307881131,10
1402,2347,model3,-0.7154792068857619,0.28452079311423806,0.06346487572820607,1.4073818943418277,-1.9139860222764105,0.0007212703432876832,-0.07567093382594063,-0.51179321795159,0.0006911510565583577,5
1402,2412,model3,-0.6693984608509735,0.3306015391490265,0.017778258305695342,1.0190856742862782,-2.264174776753689,0.0008164370102984603,0.20929028333552835,-0.33247393918944096,0.0007747467603385974,4
1402,2542,model1,-0.5452661060549637,0.4547338939450363,0.8739937119703935,0.7172195486356634,5.238185527038771e-05,0.0006647279643488213,0.4626950642813356,-0.0304755912484865,0.0006432190687577188,11
1402,2610,model3,-0.9597336821045214,-0.04026631789547866,0.8138032387364275,1.254270598365435,-3.4600792407168086,0.0008988306500083658,-0.03511125573965943,-1.2383301435371405,0.0008584022445567191,9
1402,2834,model1,-0.3901342257268954,0.6098657742731046,0.9989497082631328,0.4385425713794208,5.14378196239577e-05,0.0006616408120036742,0.3435882853245789,0.0019012459885384366,0.0006241834363803023,10
1402,2881,model3,-0.805863230464982,-0.19413676953501804,0.30330794065462324,1.87802068002722,-3.574526088562555,0.0007361928312735284,-0.014255203772166197,-1.2757472505830763,0.0006991917359510822,8
1402,3231,model1,-0.5750211007137681,0.424978899286232,0.8417271512593207,0.3609373903108769,9.204940193142293e-05,0.0007822108849846772,0.8484102093760946,-0.20033215850078867,0.0006781551389416303,17
1402,4938,model3,-0.8444125280119118,0.1555874719880881,0.3228864988258123,1.070836246595685,-2.544501955275689,0.0008440571226565074,0.10770312707689736,-0.8220892051290359,0.0008190432645133457,5
1402,6176,model1,-0.5714077164615388,0.4285922835384613,0.7501187850682071,0.5107104876243017,8.639775509048153e-05,0.0014355757421064185,0.10019812527274803,-0.055044907705630086,0.0013554690013981034,0
1402,6239,model3,-0.8513199651993139,0.14868003480068606,0.02351665197408977,2.082778586308363,-2.46594142534121,0.0007454250911815486,-0.1796668683055124,-0.8572957292821978,0.0007301514859353653,0
1402,9910,model3,-0.945026438081989,0.05497356191801104,0.09862145514434206,1.0821435777117827,-3.198289761737677,0.0009274466711558396,0.1590735697964946,-1.09208008919663,0.0009038117407968176,11
1102,9910,model3,0.817003449932884,0.18299655006711604,0.05802367949763365,0.14770995882673613,-3.8481249675240594,0.001512187205721668,-1.1175361435271294,1.350368838709289,0.0013436688471688252,24
1101,1326,model3,-0.8624741594530388,0.1375258405469612,0.24253894400506826,0.5721865750264732,-2.6969016820041154,0.000695299321699462,-0.02512990566277832,-0.9458700694818096,0.0006962418673009862,24
1101,1402,model3,-0.17946563124659604,0.8205343687534039,0.013633163173031657,1.206262895367099,2.3323452845081145,0.0007992731592501104,-0.03166650440969065,0.7863035502097256,0.0007818549902627921,8
1101,2377,model3,0.7267182805747684,0.27328171942523155,0.3845882983891225,0.41608186228969296,3.733369528882674,0.0007592841849898259,-0.0262102555643851,1.3160639460792136,0.0007094441462349379,24
1101,2834,model3,0.22936632306437468,0.7706336769356252,0.015471206707622878,0.8395525901378094,2.5755935218469883,0.00048471563198516536,0.5027866396282323,0.9222915271978701,0.0004819753121994691,3
