stock1,stock2,model_type,w1,w2,pval,snr,mu,stdev,skewness,Emu,Estd,action,dtw_distance
1319,1536,model3,-0.7177997661364383,0.2822002338635618,0.011486847280247658,0.596233328685036,-1.4932057287841571,0.001091001877218003,0.210489155091054,-1.493252144525404,0.001080808184881607,13,0.09585217473320684
1319,1605,model3,-0.9104666772677024,-0.08953332273229762,0.008666898564229825,0.2821826173767634,-3.886089897323717,0.001520345220980288,-0.8486069219531565,-3.8859360858983933,0.0014691631005787895,24,0.16625826937250077
1319,1789,model3,-0.5866157076924489,0.4133842923075511,0.0514152613303132,1.4002279993052782,-0.8704547781462513,0.0006603294890377022,0.2809785732742112,-0.8704336559767674,0.0006507508820035187,8,0.06130177864058606
1319,2103,model1,-0.4638017992515263,0.5361982007484738,0.8363189285221537,0.4196644921475242,-7.482234570110881e-05,0.0009751239727878066,-0.6557753587446774,-1.7763568394002505e-15,0.0009838258007199999,24,0.06524135482613302
1319,2324,model3,-0.8282037545425673,-0.17179624545743258,0.09258349442285356,0.25657653308233397,-3.836793010922175,0.001410102645885729,-0.6328897299594884,-3.836631608979245,0.0013178607501796765,24,0.14635969964557916
1319,2330,model1,-0.5717163577897716,0.4282836422102284,0.7870018413171893,0.3541796657878992,-0.00013328317029598285,0.0009757514308453832,-0.5980219382927238,-4.884981308350689e-15,0.0009233593203375025,8,0.09217969134309545
1319,2337,model3,-0.7290320687084024,0.2709679312915975,0.04148531995606182,0.798090006884225,-2.1576445967384528,0.0009232934327427222,-0.11715682035544855,-2.1576020351572347,0.0008972347485274137,10,0.07810522786644114
1319,2383,model2,-0.7609597676138221,-0.23904023238617786,0.001,0.2443322957947911,-4.226771521591836,0.0014894406396423982,-0.5632210085094425,-4.226650808977862,0.0014171981912429119,24,0.09482504835344585
1319,2823,model3,-0.7489261321282886,0.2510738678717113,0.4413651011036573,0.6154644355791022,-2.1356106488870874,0.0009621917325011431,-0.05325334828392884,-2.135599915628047,0.0009610487070014586,24,0.11985440607442888
1319,2834,model1,-0.3435960049254874,0.6564039950745125,0.8146612667356063,0.8573193467886423,-3.3888327770184764e-05,0.0006348246151189563,-0.05807234339376481,-6.661338147750938e-16,0.0006123654192966653,8,0.057758072927021065
1319,2888,model3,-0.6807375113926493,0.3192624886073507,0.14064632838972813,1.2931071785832933,-2.0510299275677784,0.0008302425336172552,0.058428812514143925,-2.051035890190636,0.0008209062016745946,9,0.07537700683117832
1319,2915,model3,-0.6459408270590227,0.3540591729409773,0.09560226077754973,0.6902782245007576,-1.2429074502592334,0.0008489740825711481,-0.21069976158551995,-1.2428616176983658,0.0008277452990523383,24,0.08658537796420651
1319,3231,model3,-0.8035606845445253,0.19643931545547472,0.25348293602791394,0.6906121385419092,-2.569717654206461,0.0010324302416056515,-0.016584413591435275,-2.5696742984481697,0.0010081900383796662,16,0.12365354923325844
1319,9945,model2,0.6725707411470496,-0.3274292588529503,0.001,0.5537780940420703,1.565750234830772,0.0008575337304607091,0.2244761697857491,1.5656808131223687,0.0008071106590195329,8,0.09001511836147236
1102,2324,model3,-0.796499877812991,0.2035001221870089,0.05884816445846588,0.2069592636861335,-2.0029627936464096,0.0011565722851357145,-0.10879535537987324,-2.0030801722958955,0.0011380246841881387,8,0.11804474447012137
1102,2383,model3,-0.6738178542129957,0.32618214578700444,0.08243690831529286,0.7730167203272515,-0.6076168716071294,0.000985430191191801,-0.19267409221173976,-0.6076567307907008,0.0009823848198751866,14,0.08513246713291078
1216,2317,model3,-0.6267870830364514,0.37321291696354864,0.006774058735351526,0.23391356928940985,-0.7671527056093574,0.0011264197757753335,-0.8778453405355406,-0.7669179372370009,0.0010191485470766434,0,0.11286077751564072
1216,2356,model3,-0.8624456927525305,0.13755430724746953,0.13149528630835652,0.4563517200793432,-3.058639291576016,0.0008338134846494242,0.4651653957148452,-3.0586704323392566,0.0008447941210244392,11,0.09112049469762606
1216,2383,model3,-0.7409799209810513,0.2590200790189487,0.030630731239617168,0.5619524075102623,-1.7305198272334488,0.0008949268668755762,-0.4069715729415131,-1.730454164898985,0.0008880182143712161,24,0.08575256691728006
1216,2409,model3,0.7148774374446276,0.2851225625553722,0.010814716455410515,0.35138919242200145,3.60292282139155,0.0009651760309502784,0.3960295492256531,3.6029414171001064,0.0009741532697615977,24,0.054447490947305166
1216,2882,model1,-0.4889012777641572,0.5110987222358427,0.9346503670491014,0.08375038534724191,-0.0002925032195527096,0.0010473497439677374,-0.5037413770178192,-5.319468601161503e-07,0.000788279773997921,24,0.08724609957571605
1216,2883,model2,-0.746327261066515,0.25367273893348496,0.001,0.6660310933782638,-2.461816246529704,0.0007034788378150737,0.7794557097716178,-2.4618699140200317,0.0007089265640856677,5,0.05540566290794002
1216,2886,model1,-0.4390813728600056,0.5609186271399944,0.8591965543263219,0.376292966785834,-7.005634693831642e-05,0.0008510598436998049,-0.3038298392401078,-3.360622891079857e-11,0.0007488178025171308,4,0.07122195931324393
1216,2888,model3,-0.7710764173175583,0.22892358268244184,0.0532001064618334,0.5222897457513027,-2.6382997542049296,0.0007398069491834923,0.437234339961757,-2.6383084232488265,0.0007469542120359351,15,0.06338226708173789
1301,2308,model3,-0.4782035068078773,0.5217964931921228,0.0625273735369873,0.5861780460766419,0.48169287379210496,0.0008887913570445555,0.4055687044411657,0.4816281280390746,0.0008628033249811082,24,0.07540345553597749
1301,2324,model3,-0.7427264439302905,0.2572735560697096,0.12369041706960762,0.2059052658385376,-2.588531161877234,0.0007919004744278138,0.04439637117312791,-2.5886107086988788,0.000770001341111741,5,0.06504902468615015
