stock1,stock2,trade_capital,open,loss,reward,open_num
1101,2395,340.65,1.3000000000000007,23.0,1.1796250000000157,1
1102,1605,91.35000000000001,1.3000000000000007,23.0,0.09737499999999955,1
1102,2337,48.61165,1.3000000000000007,23.0,0.0236500000000035,1
1102,2823,244.98197500000003,1.3000000000000007,23.0,0.28197500000001696,1
1102,2887,70.07665,2.7500000000000018,15.0,0.28735000000001065,1
1102,2891,78.731725,1.3000000000000007,23.0,0.03172499999999445,1
1477,2049,936.593,1.3000000000000007,23.0,4.092999999999989,1
1477,2618,277.97875,1.3000000000000007,23.0,0.31875000000002274,1
1477,2885,250.52875,1.3000000000000007,23.0,-0.1354999999999862,1
1477,2890,244.63250000000002,1.9500000000000013,5.0,0.2325000000000088,1
1802,2885,63.31275000000001,1.3000000000000007,23.0,0.1991999999999976,1
2049,2395,673.48825,1.3000000000000007,23.0,1.988250000000022,1
2049,2801,214.92587500000002,2.7500000000000018,15.0,1.1538750000000277,1
2049,2885,201.103,2.4000000000000017,10.0,0.9387500000000202,1
2049,2891,231.15275000000003,1.550000000000009,7.0,0.4027500000000117,1
2105,2474,1441.8737500000002,1.3000000000000007,23.0,-36.983849999999904,1
2105,2915,159.03,1.3000000000000007,23.0,0.4339000000000155,1
2337,6269,100.53699999999999,3.3500000000000023,16.0,0.28559999999999874,1
2395,2915,493.2565000000001,1.3000000000000007,23.0,0.7140000000000271,1
2408,2885,61.9788,2.0000000000000013,6.0,0.1031000000000013,1
2408,2887,94.383375,2.0000000000000013,6.0,0.10217500000000257,1
2474,2610,320.248,1.52,8.0,0.2598750000000152,1
2474,2618,347.87375,2.1000000000000014,9.0,-5.785499999999999,1
2474,2892,341.69350000000003,3.3500000000000023,16.0,-3.525749999999988,1
2618,3406,154.46795000000003,2.7500000000000018,15.0,0.16795000000001892,1
2618,6456,195.864625,2.200000000000001,6.0,0.18837500000000773,1
2618,9938,164.649,2.7500000000000018,15.0,0.48900000000001853,1
2542,2885,92.6406,2.7500000000000018,15.0,0.3513500000000036,1
2823,2891,89.0451,1.3000000000000007,23.0,0.11244999999999905,1
2823,9938,196.59900000000002,3.3500000000000023,16.0,-0.3138749999999817,1
2801,2887,67.95032499999999,2.0000000000000013,6.0,0.3387000000000029,1
2885,2887,22.10275,2.7500000000000018,15.0,0.06490000000000151,1
2885,2891,48.48502500000001,1.3000000000000007,23.0,0.27147499999999525,1
2885,4904,122.89515,3.3500000000000023,16.0,0.30590000000000117,1
2885,9933,94.28812500000001,2.7500000000000018,15.0,-0.5003749999999982,1
2892,3406,136.011125,1.8500000000000012,9.0,0.3358749999999944,1
2892,9938,163.00512500000002,3.3500000000000023,16.0,-0.4948749999999933,1
