stock1,stock2,trade_capital,open,loss,reward,open_num
1504,2345,91.755,2.4000000000000017,10.0,0.14662500000001444,1
1504,2409,102.777375,1.3000000000000007,23.0,0.09197500000000858,1
1536,2439,379.1825,1.3000000000000007,23.0,0.9090000000000202,1
1536,6239,526.82575,1.9500000000000013,5.0,0.14500000000003865,1
1802,2449,149.8908,1.3000000000000007,23.0,0.11847500000000366,1
1802,2887,70.333,2.0000000000000013,6.0,0.1922250000000041,1
1802,5880,81.86075000000001,1.6500000000000008,16.0,0.12497500000000805,1
2002,2313,117.04499999999999,1.3000000000000007,23.0,0.15440000000002385,1
2002,2344,120.03967,1.3000000000000007,23.0,0.3196700000000039,1
2002,2880,84.3031,1.3000000000000007,23.0,0.07010000000000005,1
2002,2887,96.00885,1.9500000000000013,5.0,0.19685000000000485,1
2049,2439,375.46450000000004,1.3000000000000007,23.0,0.8970000000000198,1
2201,3045,385.35600000000005,1.3200000000000007,6.0,1.0127500000000396,1
2308,2498,335.294,1.7500000000000009,15.0,0.36750000000003524,1
2313,2382,138.42555000000002,1.3000000000000007,23.0,0.32980000000000587,1
2313,2880,64.453175,1.3000000000000007,23.0,0.053174999999995975,1
2313,9910,203.0285,1.6500000000000008,16.0,-0.5672499999999872,1
2371,5880,57.358734999999996,1.4000000000000008,20.0,0.1153350000000053,1
2347,8464,562.9043750000001,1.6500000000000008,16.0,1.654375000000016,1
2382,2409,177.8915,1.9500000000000013,5.0,0.1629000000000218,1
2382,2880,140.118875,1.4000000000000008,20.0,0.12957500000001687,1
2382,2888,93.8384,1.9500000000000013,5.0,0.04925000000000068,1
2382,9910,369.40200000000004,3.3500000000000023,16.0,0.7048000000000343,1
2409,5880,61.6423,1.4000000000000008,20.0,0.09890000000000576,1
2409,9910,184.67700000000002,2.1000000000000014,9.0,0.2138750000000229,1
2448,2801,103.14505000000001,1.3000000000000007,23.0,0.09505000000001118,1
2448,9938,209.08462500000002,3.3500000000000023,16.0,-1.8288749999999965,1
2439,2449,236.025,1.4000000000000008,20.0,0.8547500000000099,1
2439,2892,205.44137500000002,1.3000000000000007,23.0,0.44137500000002206,1
2439,3045,668.96,1.9500000000000013,5.0,1.9762500000000927,1
2449,2880,105.963875,1.6500000000000008,16.0,0.13657500000001122,1
2498,2882,458.217375,2.1000000000000014,9.0,-5.374724999999955,1
2498,2887,143.323,1.9500000000000013,5.0,0.3202000000000069,1
2498,4958,703.9354,1.3000000000000007,23.0,-6.117349999999988,1
2498,8464,818.86275,1.3000000000000007,23.0,-9.289999999999964,1
2880,9904,124.51295000000002,1.3000000000000007,23.0,0.06295000000000783,1
2882,2887,92.36432500000001,2.4000000000000017,10.0,-0.24729999999998853,1
2890,3045,353.96825,1.3000000000000007,23.0,0.9482500000000407,1
