stock1,stock2,trade_capital,open,loss,reward,open_num
2015,6269,517.7157000000001,0.5,10.0,23.07845000000006,1
1536,2356,243.599,3.3500000000000023,16.0,6.360375000000019,1
1536,2383,520.0055,2.9000000000000017,20.0,52.59625,1
1536,2395,1225.1950000000002,2.7500000000000018,15.0,74.5095,1
1536,2606,367.65,1.7500000000000009,15.0,11.119625000000042,1
1536,2610,155.7,1.3000000000000007,23.0,4.533300000000018,1
1536,6176,751.2865,0.5,10.0,23.794750000000022,1
1504,2395,277.41312500000004,0.5,10.0,9.788375000000016,1
2059,2610,363.33050000000003,2.7500000000000018,15.0,35.096500000000034,1
2059,2834,377.177,1.8000000000000012,5.0,43.675500000000014,1
2059,6239,610.867,1.3000000000000007,23.0,33.03475000000003,1
2356,2383,127.83975000000001,0.5,10.0,6.838650000000015,1
2356,2412,218.36225000000002,3.3500000000000023,16.0,5.899750000000012,1
2356,2845,61.38584,2.9000000000000017,20.0,0.6331900000000026,1
2356,6176,191.9273,0.5,10.0,3.889800000000008,1
2383,2395,473.57525000000004,2.9000000000000017,20.0,50.166,1
2383,2412,217.41725000000002,2.9000000000000017,20.0,17.233550000000022,1
2383,2610,100.381,1.3000000000000007,23.0,5.979900000000008,1
2383,6176,313.2015,3.3500000000000023,16.0,30.355950000000036,1
2834,6176,127.35230000000001,0.5,10.0,2.101175000000005,1
2834,6269,130.94690000000003,0.5,10.0,7.346150000000023,1
2606,2888,78.483875,1.9500000000000013,5.0,0.7262500000000038,1
2606,5264,292.66035,1.3000000000000007,23.0,5.81035,1
2606,6176,165.1073,2.9000000000000017,20.0,4.584425000000024,1
2606,6239,274.4466,0.5,10.0,7.812975000000023,1
2395,2606,356.35025,1.3000000000000007,23.0,9.940875000000005,1
2395,2610,232.529875,1.8500000000000012,9.0,11.005125000000007,1
2395,6176,431.3319,1.3000000000000007,23.0,15.707149999999984,1
2395,6239,450.1515,3.3500000000000023,16.0,28.16110000000006,1
2395,6269,442.11570000000006,0.5,10.0,34.687200000000075,1
2610,2888,81.9391,0.5,10.0,0.618975000000006,1
2610,6176,123.07730000000001,0.5,10.0,1.9571749999999994,1
2610,6239,109.0983,0.5,10.0,4.078175000000009,1
2610,6269,126.67190000000002,0.5,10.0,7.4032000000000195,1
2412,2610,149.15225,1.3000000000000007,23.0,4.7170500000000075,1
2412,6176,610.2092,2.9000000000000017,20.0,18.720950000000016,1
2412,6239,621.9915000000001,0.5,10.0,16.519000000000062,1
2412,6269,624.5876000000001,0.5,10.0,13.39710000000008,1
2888,6239,108.543875,2.7500000000000018,15.0,3.9212750000000156,1
6239,6269,487.2957,2.0000000000000013,6.0,22.629900000000106,1
6176,6239,476.21235,3.3500000000000023,16.0,21.02195000000006,1
6176,6269,157.63190000000003,0.5,10.0,7.2517500000000155,1
