stock1,stock2,action1,action2,action3,action4,action5,action6,action7,action8,action9,action10,action11,action12,action13,action14,action15,action16,action17,action18,action19,action20,action21,action22,action23,action24,action25
1314,1504,0.16077500000002232,0.16077500000002232,0.16077500000002232,0.16077500000002232,0.16077500000002232,0.16077500000002232,0.16077500000002232,0.16077500000002232,0.16077500000002232,0.16077500000002232,0.16077500000002232,0.31100000000002836,0.31100000000002836,0.31100000000002836,0.31047500000002515,0,0,0,0,0,0,0,0,0,0
1314,2105,0.3570500000000294,0.3570500000000294,0.3570500000000294,0.3570500000000294,0.3570500000000294,0.3570500000000294,0.3570500000000294,0.3570500000000294,0.3570500000000294,0.3570500000000294,0.3570500000000294,0.2076500000000152,0.2076500000000152,0.2076500000000152,0.2076500000000152,0.2076500000000152,0.2076500000000152,0.2076500000000152,0.2076500000000152,0.2076500000000152,0.2076500000000152,0.357800000000033,0.357800000000033,0,0
1314,2337,0.04971000000000281,0.04971000000000281,0.04971000000000281,0.04971000000000281,0.04971000000000281,0.04971000000000281,0.04971000000000281,0.04971000000000281,0.04971000000000281,0.04971000000000281,0.04971000000000281,0.04971000000000281,0.04971000000000281,0.04971000000000281,0.09957500000000152,0.09957500000000152,0.09957500000000152,0.09957500000000152,0.09957500000000152,0.09957500000000152,0.09957500000000152,0.09957500000000152,0.09957500000000152,0,0
1314,2344,0.04425000000000168,0.04425000000000168,0.04425000000000168,0.04425000000000168,0.04425000000000168,0.04425000000000168,0.04425000000000168,0.04425000000000168,0.04425000000000168,0.04425000000000168,0.04425000000000168,0.03971500000000461,-0.055374999999997954,-0.055374999999997954,-0.0054500000000032855,-0.0054500000000032855,-0.0054500000000032855,-0.0054500000000032855,-0.0054500000000032855,-0.0054500000000032855,-0.0054500000000032855,-0.0054500000000032855,-0.0054500000000032855,0,0
1314,2371,0.022850000000000037,0.022850000000000037,0.022774999999999324,0.022774999999999324,0.022774999999999324,0.022774999999999324,0.022774999999999324,0.022774999999999324,0.022774999999999324,0.022774999999999324,0.022774999999999324,-0.13708999999999527,-0.13708999999999527,-0.13708999999999527,-0.13708999999999527,-0.13708999999999527,-0.10713499999999776,-0.10713499999999776,-0.10713499999999776,-0.10713499999999776,-0.10713499999999776,-0.10713499999999776,-0.10713499999999776,0,0
1314,2439,1.1132500000000078,1.1132500000000078,1.1132500000000078,1.1132500000000078,1.1132500000000078,1.1132500000000078,1.1132500000000078,1.1132500000000078,1.1132500000000078,1.1132500000000078,1.1132500000000078,1.3628750000000096,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,2615,0.14560000000000528,0.14560000000000528,0.14560000000000528,0.14560000000000528,0.14560000000000528,0.14560000000000528,0.14560000000000528,0.14560000000000528,0.14560000000000528,0.14560000000000528,0.14560000000000528,-0.2534249999999929,-0.2534249999999929,-0.2034249999999922,-0.2034249999999922,-0.10342499999999433,-0.10342499999999433,-0.10342499999999433,-0.10342499999999433,-0.10342499999999433,-0.10342499999999433,-0.10342499999999433,-0.10342499999999433,0,0
1314,2867,0.042325000000005275,0.042325000000005275,0.042325000000005275,0.042325000000005275,0.042325000000005275,0.042325000000005275,0.042325000000005275,0.042325000000005275,0.042325000000005275,0.1422500000000042,0.1422500000000042,0.1422500000000042,0.1422500000000042,0.1422500000000042,0.1422500000000042,0.1422500000000042,0,0,0,0,0,0,0,0,0
1314,2882,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0.3478250000000074,0,0,0,0
1314,2886,0.251525000000008,0.251525000000008,0.251525000000008,0.251525000000008,0.251525000000008,0.251525000000008,0.251525000000008,0.251525000000008,0.251525000000008,0.251525000000008,0.30145000000000977,0.30145000000000977,-0.19772499999999127,-0.19772499999999127,-0.19772499999999127,-0.04764999999999375,-0.04764999999999375,-0.04764999999999375,-0.04764999999999375,-0.04764999999999375,-0.04764999999999375,-0.04764999999999375,-0.04764999999999375,0,0
1314,2891,0.20667500000001127,0.20667500000001127,0.20667500000001127,0.20667500000001127,0.20667500000001127,0.20667500000001127,0.20667500000001127,0.20667500000001127,0.20667500000001127,0.20667500000001127,0.20667500000001127,0.20667500000001127,0.20667500000001127,0.20615000000000094,0.20615000000000094,0,0,0,0,0,0,0,0,0,0
