stock1,stock2,action1,action2,action3,action4,action5,action6,action7,action8,action9,action10,action11,action12,action13,action14,action15,action16,action17,action18,action19,action20,action21,action22,action23,action24,action25
1227,2324,0.046899999999993724,0.046899999999993724,0.046899999999993724,0.046899999999993724,0.046899999999993724,0.046899999999993724,0.046899999999993724,0.09667499999999052,0.09667499999999052,0.09667499999999052,0.09667499999999052,0.146525000000004,0.146525000000004,0.146525000000004,0.146525000000004,-0.15354999999999563,-0.15354999999999563,-0.15354999999999563,-0.15354999999999563,-0.15354999999999563,-0.15354999999999563,-0.15354999999999563,0,0,0
1227,2881,-0.09855000000001723,-0.09855000000001723,-0.09855000000001723,-0.09855000000001723,-0.09855000000001723,-0.09855000000001723,-0.09855000000001723,-0.09855000000001723,0.10115000000001828,0.10115000000001828,0.10115000000001828,0.10115000000001828,0.10115000000001828,0.10115000000001828,0.10115000000001828,0.10115000000001828,0.10115000000001828,0.10115000000001828,0.10115000000001828,0.10115000000001828,0.10115000000001828,0.10115000000001828,0.10115000000001828,0,0
1301,2324,0.21552500000001373,0.21552500000001373,0.06575000000000841,0.06575000000000841,-0.0343249999999955,-0.0343249999999955,-0.0343249999999955,-0.0343249999999955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,2352,0.02870000000002193,0.02870000000002193,0.02870000000002193,0.02870000000002193,0.02870000000002193,0.02870000000002193,0.02870000000002193,-0.6203250000000082,-0.6203250000000082,-0.6203250000000082,-0.6203250000000082,-0.6203250000000082,-0.4705500000000029,-0.4705500000000029,-0.4705500000000029,-0.22032500000003097,-0.22032500000003097,-0.22032500000003097,-0.22032500000003097,-0.22032500000003097,-0.22032500000003097,-0.22032500000003097,-0.22032500000003097,0,0
1301,2383,-1.715050000000005,-1.715050000000005,-1.715050000000005,-1.715050000000005,-1.715050000000005,-1.715050000000005,-1.6150500000000392,-1.1150500000000392,-1.1150500000000392,-1.1150500000000392,-1.1150500000000392,-1.1150500000000392,-1.1150500000000392,-1.1150500000000392,-1.1150500000000392,-1.1150500000000392,-1.1150500000000392,-1.1150500000000392,-1.1150500000000392,-1.1150500000000392,-1.1150500000000392,-1.1150500000000392,-1.1150500000000392,0,0
1301,2618,0.1542999999999921,0.1542999999999921,0.1542999999999921,0.1542999999999921,0.1542999999999921,0.1542999999999921,0.1542999999999921,0.1542999999999921,0.1542999999999921,0.1542999999999921,0.1542999999999921,0.25415000000000987,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,2883,-0.0953749999999971,-0.0953749999999971,-0.0953749999999971,-0.0953749999999971,-0.0953749999999971,-0.0953749999999971,-0.0953749999999971,-0.0953749999999971,-0.0953749999999971,-0.0953749999999971,-0.0953749999999971,-0.04552500000000492,-0.04552500000000492,-0.04552500000000492,-0.04552500000000492,-0.09530000000000882,-0.09530000000000882,-0.09530000000000882,-0.09530000000000882,-0.09530000000000882,-0.09530000000000882,-0.09530000000000882,-0.09530000000000882,0,0
1301,3019,-0.15059999999997586,-0.15059999999997586,-0.15059999999997586,-0.15059999999997586,-0.15059999999997586,-0.15059999999997586,-0.8487999999999687,-0.8487999999999687,-0.7487999999999744,-0.7487999999999744,-0.7487999999999744,-0.5495499999999538,-0.5495499999999538,-0.5495499999999538,-0.4487999999999701,-0.0495499999999538,-0.0495499999999538,-0.0495499999999538,-0.0495499999999538,-0.0495499999999538,-0.0495499999999538,-0.0495499999999538,-0.0495499999999538,0,0
1301,3706,-0.21864999999996115,-0.21864999999996115,-0.21864999999996115,-0.21864999999996115,-0.21864999999996115,-0.21864999999996115,-0.21864999999996115,-0.21864999999996115,-0.21864999999996115,-0.6169999999999902,-0.6169999999999902,-0.6169999999999902,-0.6169999999999902,-0.6169999999999902,-0.6169999999999902,-0.1669999999999945,-0.1669999999999945,-0.1669999999999945,-0.1669999999999945,-0.1669999999999945,-0.1669999999999945,-0.1669999999999945,-0.1669999999999945,0,0
1301,4915,-0.24969999999997583,-0.24969999999997583,-0.24969999999997583,-0.24969999999997583,-0.24969999999997583,-0.24969999999997583,-0.24969999999997583,-0.24969999999997583,-0.24969999999997583,-0.24969999999997583,-0.24969999999997583,-0.14969999999998151,-0.8483499999999964,-0.8483499999999964,-0.8483499999999964,-0.8483499999999964,-0.8483499999999964,-0.8483499999999964,-0.8483499999999964,-0.8483499999999964,-0.8483499999999964,-0.3483499999999964,-0.3483499999999964,0,0
