stock1,stock2,model_type,w1,w2,pval,snr,mu,stdev,skewness,Emu,Estd,action
1326,1504,model3,-0.2634589211358647,0.7365410788641354,0.028398445246838717,0.7277927036852451,0.7737391516587955,0.001470809066622248,-0.23759333288532825,0.7737386827741553,0.001475848305035417,5
1326,2345,model3,-0.2871484750572809,0.7128515249427191,0.028616202171472944,0.7362993332530516,0.7365809458128884,0.0014321958324051832,-0.3933135596164385,0.7364713817642996,0.0014634368671887206,19
1326,2356,model3,-0.13901559981151435,0.8609844001884857,0.06527027507283346,1.5744395201372738,1.85654319074684,0.0014318660995121402,-0.05276636022929791,1.8565967094753049,0.0014162584415587736,10
1326,2357,model3,-0.29475827930079673,0.7052417206992033,0.13191638847351647,0.20359045114464466,2.5977578958693655,0.0015506443813486715,-0.4418877900582281,2.5979280413042325,0.0013987028281288736,15
1326,2383,model3,-0.4345145533248272,0.565485446675173,0.07788456824762385,0.20344943293878487,0.011330087108020541,0.0015389060808558435,-0.7820409458040725,0.010494400603062504,0.001893992435043717,13
1326,2610,model3,-0.6682892468519079,0.33171075314809195,0.21087618780183354,0.15105474918732298,-1.9414483420654605,0.002083984494935925,-1.0961824255181218,-1.942758302628631,0.002901030459914193,24
1326,2618,model3,-0.5137375648852673,0.4862624351147326,0.17338157862624967,0.18237231085431416,-0.7753954045234647,0.0016798513563691855,-0.62115164623911,-0.7760005165426018,0.0018627928331564397,24
1326,2886,model3,-0.3138838973808444,0.6861161026191557,0.03004354295366947,0.4766237013690573,0.6125745587127087,0.001384418484767855,-0.011889416192536495,0.612489113190817,0.0013892558442362734,9
1326,2892,model3,-0.35176577834315537,0.6482342216568445,0.02265450993548583,0.3100609345127799,0.3542164104150321,0.0016052883118331301,-0.29696834846854736,0.35410131583563365,0.0016959341322380357,16
1326,6176,model3,0.048898919582134485,0.9511010804178656,0.023647460256987225,0.7332157703261647,3.802232689737081,0.0011590446790996586,0.3747295749804643,3.8021919430531903,0.001165121343215262,16
1402,1504,model1,-0.42526056553295,0.5747394344670501,0.9331529382299936,0.21493382594234214,-0.00016092284354889111,0.0017045867045141633,-0.15386580233818428,-1.3322676295501878e-15,0.0017424754402899005,24
1402,2345,model3,-0.1974560412158032,0.8025439587841967,0.07543979443582871,0.3054042929849445,1.5246689196040402,0.0019757613170989165,-0.5412939802258624,1.5246745133374806,0.0019838479113736614,24
1402,2347,model2,-0.3622881709652797,0.6377118290347203,0.001,0.30016853096217555,1.439037326464503,0.0011086133791159316,-0.3721755916349164,1.4389270710130777,0.0010834600511403388,24
1402,2356,model3,-0.0406778583743944,0.9593221416256056,0.09725346863506196,0.838955211163617,2.5900410488136583,0.0018284060980574355,-0.186228811846482,2.5902347563616503,0.0018030862773912928,13
1303,1504,model3,-0.42321388955368267,0.5767861104463173,0.05603917809689166,2.3972919687561287,-0.17749038724798868,0.0010736272382895515,-0.24591813624393216,-0.1774625728252086,0.001060307233529908,8
1303,2330,model3,-0.22832586446385555,0.7716741355361445,0.06691707756713806,1.0050857277950065,2.265870203909752,0.0007533031857305606,0.3519302399490629,2.265838765822562,0.0007485406652663329,0
1303,2344,model3,-0.5862675014333364,0.4137324985666636,0.1702716158351014,0.4730175967817045,-1.4439476751199911,0.0012075730843009187,-0.5913056774736623,-1.4439335060144725,0.001196272111036078,16
1303,2357,model3,-0.5305335694645695,0.4694664305354304,0.05106051782226658,0.3091498070192916,0.4798633831226215,0.0014896367431936665,0.12366151470180008,0.4800373211098421,0.0013233994372953558,24
1303,2379,model3,-0.6217385849505762,0.37826141504942384,0.10605294569895836,0.38875261511903053,-0.8378011325502571,0.0014521521291684242,-0.052335555319251485,-0.8377943875814975,0.0014507410479235039,14
1303,2886,model3,-0.4660243705559208,0.5339756294440792,0.10249230787593283,0.5290076784236337,-0.31267618429988336,0.0012705242235067269,0.3570947173182902,-0.3127444132183501,0.001267720401253279,0
1303,2892,model3,-0.5409740939152866,0.4590259060847135,0.0696793212486834,0.5151361483712495,-0.8132330566659469,0.0012767814073528102,-0.2095302004161434,-0.8132023956952226,0.001252395480429747,12
1216,1504,model3,-0.2299721849042907,0.7700278150957094,0.1342388978942851,0.8776778289779636,1.1680790314199645,0.0014413268015226435,-0.18496485109554966,1.1680803552935437,0.0014468854246438149,8
1216,1605,model3,-0.4604356881071622,0.5395643118928377,0.17939294920629176,0.8032739395677134,-0.3181541813416436,0.0015142851788844253,-0.041242894286802535,-0.31822677201461613,0.0014865319737198,24
1216,2303,model3,-0.4356454024679173,0.5643545975320827,0.12959593599505664,0.3965783595594547,-0.05928266669773021,0.0013024781741791786,-0.04557612531577205,-0.05923141169804036,0.0013031584749007522,13
1216,2345,model3,-0.24509896938023584,0.7549010306197641,0.1469472195686825,0.6879012339014113,1.2079295173779163,0.0014916017703830305,0.4456338185312936,1.2078419152018025,0.0014388712995079672,11
1216,2354,model3,-0.26955691387962555,0.7304430861203745,0.08766011083831071,0.5223099440887539,2.4523812067482647,0.002277253294520812,1.0233881088757883,2.4521839436556876,0.0020687042662533247,0
1216,2383,model3,-0.3620652694650641,0.6379347305349359,0.17116352588882885,0.2374839458415676,0.8204152276292208,0.0015710938483545068,0.9844642563722958,0.8201500929003573,0.0013105400663942519,24
1216,2801,model3,-0.4362349703059304,0.5637650296940696,0.10075090800711874,0.3379046290457367,-0.040637399837754516,0.0017963750224603173,0.6536913247175867,-0.04065808171524332,0.0018112445905656951,8
