stock1,stock2,model_type,w1,w2,pval,snr,mu,stdev,skewness,Emu,Estd,action
1605,2542,model3,-0.13474686858026722,0.8652531314197328,0.10052899148798093,0.33610078839172525,2.8986481069246794,0.0007632904138057142,-0.010503225176211224,2.8986289326761714,0.0007629108706308823,11
2301,2633,model3,0.37266033164488505,0.627339668355115,0.47595222565454404,0.7850601988219759,3.4312628244681465,0.0007859994579168903,0.4017803264453261,3.431202299580397,0.000723913740676746,8
2308,2881,model3,-0.0955125843100808,0.9044874156899192,0.8991926180143823,1.2806863495442775,2.9924297180122013,0.00040561893279009615,0.5176277368664679,2.9987305770768033,0.000390189966926088,24
2330,2347,model3,-0.3892009021430177,0.6107990978569824,0.13006343937185286,0.5120726199086557,0.0952902034767414,0.0006443987761539723,-0.18060855179382573,0.0953157821337367,0.0006283332486148824,13
2330,2886,model3,-0.3951652604705123,0.6048347395294876,0.2395147189852121,1.5782198418878666,-0.21628267333123968,0.0006726119163266095,0.19747590871419224,-0.21624789767408686,0.0006641112400240449,10
2347,2618,model1,-0.43234719213396494,0.5676528078660351,0.9469515917600928,1.1656126528372317,2.402991561467024e-05,0.0009762531393618695,0.06745418275656273,2.220446049250313e-16,0.000984447739495185,8
2347,2633,model1,-0.4728013341721137,0.5271986658278863,0.979914541593778,0.4623946955914398,5.335709085381168e-05,0.0007933869079013383,0.2271514249336403,8.881784197001252e-16,0.0007317077818232674,0
2347,9904,model2,-0.21847267564754352,-0.7815273243524565,0.001,0.2787313051244727,-3.654495380833193,0.00086756659813654,-0.0026461377814465184,-3.6544596004926317,0.0008657749165255462,4
2377,2633,model3,0.2788067956114313,0.7211932043885687,0.2463867379912669,0.34660720170077125,3.4911043714033787,0.0010656750985478072,0.4561197906591777,3.490981088397649,0.0009757700170179993,24
2377,2886,model3,0.2958411121683769,0.7041588878316232,0.2108470823854416,0.7901866470874545,3.4682525828642112,0.0008150700562276421,0.1775793285303466,3.4682791049130497,0.0008201742963014991,12
2382,2883,model3,0.1165104956284731,0.883489504371527,0.20390747190851435,0.048712060427226415,2.471335069797681,0.0015250272841000054,1.1435583820075896,2.470900026511313,0.001042113546619164,14
2542,2886,model3,0.622165787933803,0.37783421206619694,0.024853297206384555,0.4587130348538378,3.540322349791773,0.0006910626646727564,-0.027587565079822587,3.5402659608881426,0.0006913522005931905,11
2542,9904,model1,-0.4936280124292477,0.5063719875707524,0.6802159784100447,0.5500578785516119,-5.382302645161818e-05,0.0005716592124897275,-0.006895306459642563,-1.1102230246251563e-15,0.000582072203218754,13
2618,2881,model3,-0.9925338727335108,-0.007466127266489081,0.01464245442631539,0.6437932283602544,-2.746607962030206,0.0017855551231446426,0.1948874568578773,-2.7466190499416463,0.0017915565014617004,11
2618,2886,model1,-0.5364475368420406,0.4635524631579594,0.9285547169646172,0.9218337726044956,-6.767839401881894e-05,0.0010179255226319813,0.2118699754282701,9.592326932761353e-14,0.0010541745943593432,5
2618,2891,model3,-0.3697448151174471,0.6302551848825529,0.004218582538868014,0.6815793189485013,0.8532960239162257,0.0007801353094092954,-0.07704166936524189,0.8532354240725737,0.0007491176135111371,8
2618,9904,model1,-0.5727618313496348,0.4272381686503652,0.8615777746987835,0.6785590520280063,-7.032660957424498e-06,0.0010711197433035382,0.43585700169660463,6.661338147750938e-16,0.0010822427596222453,8
2633,2886,model1,-0.4956590201160209,0.5043409798839791,0.9891490065143596,0.7744249938030912,-4.364232145514624e-05,0.0007206606243540781,-0.5687928338751881,-6.661338147750938e-16,0.0006691195931478425,24
2886,9904,model3,0.3707217956428963,0.6292782043571037,0.012050380022574877,0.3892729692345396,3.484860634070861,0.000812683598125745,-0.5777029910340973,3.484879414469469,0.000822284633983146,3
2890,9904,model3,-0.36107272781140587,0.6389272721885941,0.007130683801049993,0.4941589669565997,1.5485341968713089,0.0006606077088489075,0.2597214610945577,1.5485446878731441,0.0006677755282502517,13
