loss,acc,winrate
1384.798095703125,22.26373353499554,80.40700000000372
1365.3878173828125,23.892456855198258,164.45915000000815
1348.1099853515625,24.755917243247513,293.0380050000148
1297.82568359375,25.685971308283577,326.43377000001055
1310.35009765625,26.511055679086198,188.2331850000071
1312.4658203125,27.721028928744765,331.90259500001764
1290.9722900390625,29.445692292064066,161.44949500000598
1286.152587890625,31.25500863460388,310.95080000001224
1210.4290771484375,33.76976647064799,170.96273000001474
1006.6309204101562,43.43262187207242,332.16183000002127
888.7853393554688,52.376491303317266,356.2810800000234
692.3388061523438,63.19852816686795,434.91909500002834
528.672119140625,75.04543043218167,457.9186400000291
328.5854797363281,86.25348488097791,394.05872500002727
183.74082946777344,94.89486099980812,477.9151800000303
44.224021911621094,98.980778130185,473.07380000002877
15.181498527526855,99.96501010192219,509.8285300000283
5.800321578979492,100.0,467.7658150000285
3.7675833702087402,100.0,470.94084500002896
2.8501651287078857,100.0,463.554220000029
2.6807711124420166,100.0,465.67622000002893
2.464527130126953,100.0,474.34477000002914
2.4535067081451416,100.0,471.8348450000293
2.2122583389282227,100.0,466.166420000029
1.909044623374939,100.0,471.04044500002897
2.0611963272094727,100.0,464.5839700000291
1.8107131719589233,100.0,466.3950450000291
2.037188768386841,100.0,472.5087950000292
1.5705537796020508,100.0,474.4785700000291
1.8879213333129883,100.0,475.3634700000291
1.7581207752227783,100.0,472.73292000002914
1.5748318433761597,100.0,472.4817200000291
1.4358364343643188,100.0,465.5674700000292
1.5653929710388184,100.0,463.66497000002914
1.6366233825683594,100.0,465.9186700000291
1.544275164604187,100.0,463.88917000002914
1.5219866037368774,100.0,463.6536950000291
1.5798262357711792,100.0,467.6182200000293
1.559540867805481,100.0,465.86709500002917
1.3967576026916504,100.0,465.4103950000291
1.5913541316986084,100.0,465.5991200000292
1.355689525604248,100.0,461.90774500002897
1.5245834589004517,100.0,461.90774500002897
1.400808572769165,100.0,461.90774500002897
1.6072356700897217,100.0,461.90774500002897
1.46552574634552,100.0,460.15887000002897
1.5883134603500366,100.0,460.108645000029
1.5395058393478394,100.0,460.108645000029
1.3921945095062256,100.0,460.108645000029
1.3465290069580078,100.0,460.108645000029
1.528787612915039,100.0,460.108645000029
1.467283844947815,100.0,460.108645000029
1.4041962623596191,100.0,460.108645000029
1.4869425296783447,100.0,460.108645000029
1.5097758769989014,100.0,460.108645000029
1.4052584171295166,100.0,460.108645000029
1.5136466026306152,100.0,460.108645000029
1.3619182109832764,100.0,460.108645000029
1.491206407546997,100.0,460.108645000029
1.4877519607543945,100.0,460.108645000029
