stock1,stock2,reward,theshold choose
1326,1402,0,0
1326,1476,1.7527500000000487,1
1326,2308,-5.447249999999997,0
1326,2313,0.7963500000000607,1
1326,2439,0,0
1326,2454,1.1090000000000373,1
1326,2474,0,0
1326,2823,-0.7867250000000041,0
1326,2880,0,0
1326,2881,0.3678500000000611,1
1326,2885,0,0
1326,2890,0.020974999999999966,1
1326,3008,0,0
1314,3008,5.659400000000339,1
1216,1301,0,0
1216,2454,1.1697500000000218,1
1216,2881,0,0
1216,2892,0,0
1102,2303,0.21642499999999387,1
1102,2439,0,0
1102,2454,1.3516250000000127,1
1102,2887,0,0
1301,2105,0.2177000000000504,1
1301,2356,0.5829249999999959,1
1301,2377,0,0
1301,2395,0.18325000000001523,1
1301,2454,0,0
1301,2880,0,0
1301,2881,0,0
1301,2886,0,0
1301,9914,0,0
1301,9933,0,0
1476,2308,5.622000000000071,1
1476,2880,0,0
1476,2890,0,0
1476,3706,0,0
1402,2337,0.019620000000006854,1
1402,2356,0,0
1402,2377,0,0
1402,2395,0.2197500000000332,1
1402,2454,1.1447500000000161,1
1402,2474,0,0
1402,2881,0,0
1402,2885,0.35540000000002436,1
1402,2890,0.19365000000000876,1
1402,9945,0,0
1536,2603,0,0
1536,2809,0.7745000000000033,1
1536,2885,0.702050000000014,1
1802,2887,0.3945500000000006,1
1802,3008,15.524000000000349,1
1789,2454,0.8433750000000373,1
2002,2303,0.03827500000000583,1
2002,2377,0,0
2002,2439,-0.959575000000001,0
2002,2448,0,0
2002,2474,0,0
2002,2603,0,0
2002,2887,0.19020000000000437,1
2002,3008,0,0
2002,3481,0,0
2106,2454,0,0
2105,2303,0.08785000000000309,1
2105,2383,0,0
2105,2603,0.3309500000000014,1
2105,2887,0.3335000000000008,1
2105,2890,0,0
2201,2439,0,0
2201,2448,0,0
2201,3008,0,0
2103,2337,0,0
2204,2474,0,0
2308,2356,0,0
2308,2377,0,0
2308,2454,0,0
2308,2880,0,0
2308,2881,0.6447500000000161,1
2308,2890,0,0
2308,3481,-1.0522499999999937,0
2308,9933,1.2005000000000052,1
2303,2313,0,0
2303,2377,0,0
2303,2395,0,0
2303,2448,-0.07222499999999954,0
2303,2474,0,0
2303,2603,0.25209999999999155,1
2303,2887,0,0
2303,3008,0,0
2303,3481,-0.3923500000000004,0
2303,6414,0,0
2313,2353,0.14524999999999721,1
2313,2383,0.5912500000000023,1
2313,3008,39.71850000000035,1
2337,2395,0,0
2337,2439,0,0
2337,2474,0,0
2337,2603,0,0
2337,2809,0.0807750000000027,1
2337,2885,0.09630000000000472,1
2337,2887,0,0
2337,2890,0,0
2337,6285,0,0
2337,9904,0,0
2352,2395,0.763900000000028,1
2352,2439,0,0
2352,2454,0,0
2356,2377,0.13947500000000623,1
2356,2454,0,0
2356,2890,0,0
2356,3481,0.2302250000000079,1
2357,2377,0,0
2357,2395,0,0
2357,2439,0,0
2357,2610,0,0
2357,2885,0.24150000000004468,1
2357,3481,-3.2337499999999935,0
2377,2395,0.24112500000003934,1
2377,2439,0,0
2377,2454,-3.084999999999951,0
2377,2603,0.17252500000002158,1
2377,2880,0.1157750000000064,1
2377,2885,0,0
2377,2887,0,0
2377,2890,0.11360000000000525,1
2377,2892,0,0
2377,2915,0.9400000000000119,1
2377,3481,0.14957500000000934,1
2383,2448,0,0
2383,2474,0,0
2383,6414,2.597500000000025,1
2395,2439,0,0
2395,2454,0,0
2395,2885,-0.16174999999996942,0
2395,2887,0.34950000000001324,1
2395,3481,0.35887500000001893,1
2439,2448,-0.28642500000000126,0
2439,2474,0,0
2439,2885,0,0
2439,2887,0.40645000000000664,1
2439,2892,0,0
2439,2915,0.8160000000000309,1
2439,3008,20.06025000000031,1
2439,3481,0,0
2439,6414,0,0
2448,2454,-3.0876250000000027,0
2448,2474,0,0
2448,2880,0.15792499999999166,1
2448,2887,0.18454999999999444,1
2448,2892,0.06374999999999886,1
2448,3008,0,0
2448,3481,0.02972500000000622,1
2474,2880,0,0
2474,2885,0.9060000000000201,1
2474,2886,1.0787499999999994,1
2474,2887,-0.08199999999998653,0
2474,2890,0,0
2474,2892,0,0
2474,3008,0,0
2474,3481,-0.5752499999999898,0
2474,3673,-4.660249999999962,0
2454,2603,-4.247999999999962,0
2454,2880,0.25012499999999704,1
2454,2885,0,0
