loss,acc,winrate
111.2400894165039,20.14806690430491,28.922147827228567
105.17756652832031,20.74033452152454,31.364054089536562
97.86441802978516,20.808335618316423,28.239464356045684
108.85343170166016,21.139566767205924,26.138899829329134
99.49339294433594,21.140663559089663,22.423526322699225
97.51317596435547,21.538799012887306,28.423263752133387
106.88163757324219,21.524540718398683,34.357358540107654
94.71504211425781,21.8151905675898,32.83444925823815
92.08863067626953,22.292295037016725,31.98109491925955
103.7306900024414,22.55333150534686,31.705395825128
98.63717651367188,23.04359747737867,30.19561507155048
98.74835205078125,23.9945160405813,31.587239070500196
102.31808471679688,24.54510556621881,34.46238676644348
99.06246948242188,25.516863175212503,27.28108179073126
92.97159576416016,26.258294488620784,34.134173559144024
103.08134460449219,27.508637236084454,35.46015491663385
88.1894760131836,28.459555799287084,35.302612577130105
88.46995544433594,29.897449958870304,30.53695680714192
88.87651824951172,31.126953660542913,37.02244978337929
73.85799407958984,32.297230600493556,32.611264277274515
88.40959167480469,33.78886756238004,34.344230011815675
95.17292785644531,35.44063613929257,32.611264277274515
81.09295654296875,36.99698382231971,37.65261914139425
69.60974884033203,38.496298327392374,34.42300118156755
66.30121612548828,47.27392377296408,39.13614283838782
63.041744232177734,52.148066904304905,41.23670736510437
67.23880004882812,55.129147244310396,41.197321780228435
62.70951843261719,57.71976967370441,39.31994223447551
68.85574340820312,60.17987386893337,40.554023893921496
63.01193618774414,62.54565396216068,40.23893921491401
48.13478088378906,64.68549492733754,40.27832479978994
49.025421142578125,67.04469426926241,41.31547853485624
48.52676010131836,69.14614751850836,40.73782329000919
41.39543914794922,71.24211680833562,41.84061966653538
39.67852020263672,73.5607348505621,41.748719968491535
51.539676666259766,75.48341102275843,42.54956019430222
39.79014587402344,77.78448039484508,41.564920572403835
27.583023071289062,79.65341376473815,41.86687672311934
33.47866439819336,81.49602412942144,41.85374819482736
29.701171875,83.60405812996984,41.7093343836156
46.78607177734375,85.22840690978887,43.02218721281344
30.720760345458984,86.869207567864,43.10095838256531
32.765830993652344,88.51658897724157,41.788105553367465
31.71164321899414,89.9358376748012,42.85151634501773
54.91129684448242,91.23553605703317,42.405146383090454
32.23586654663086,92.61968741431313,28.80399107260076
23.372756958007812,93.68138195777351,42.41827491138244
26.816299438476562,94.6860433232794,42.72023106209794
37.72467041015625,95.53386344941048,42.982801627937505
13.397828102111816,97.70441458733205,43.41604306157279
16.208499908447266,98.06087194954758,42.85151634501773
30.157854080200195,98.17603509734028,42.86464487330971
15.315352439880371,98.26158486427201,42.91715898647762
14.118429183959961,98.37455442829723,42.90403045818564
11.81753158569336,98.46339457088017,42.680845477222
16.25810432434082,98.50836303811352,42.969673099645526
11.635831832885742,98.56210584041678,43.62609951424445
14.132777214050293,98.63449410474362,43.20598660890114
16.99323272705078,98.6915272826981,42.86464487330971
13.86181354522705,98.79681930353715,43.20598660890114
17.946861267089844,98.81107759802578,43.179729552317184
23.733196258544922,98.82423910063065,43.179729552317184
11.943391799926758,98.84288456265423,43.15347249573323
19.564729690551758,98.84069097888676,43.179729552317184
15.129053115844727,98.84836852207293,43.38978600498884
11.278220176696777,98.85165889772416,43.38978600498884
15.515580177307129,98.86262681656156,43.38978600498884
14.642836570739746,98.85494927337538,43.38978600498884
16.630672454833984,98.84288456265423,43.38978600498884
10.735983848571777,98.87359473539895,43.44230011815676
15.53982925415039,98.88127227858514,43.44230011815676
10.619796752929688,98.89004661365506,43.44230011815676
15.879955291748047,98.92075678639978,43.38978600498884
19.63861083984375,98.89004661365506,43.402914533280814
14.385100364685059,98.92843432958595,43.402914533280814
9.225987434387207,98.89443378119002,43.402914533280814
12.297774314880371,98.90101453249245,43.402914533280814
15.350790977478027,98.9185632026323,43.402914533280814
27.646291732788086,98.92295037016726,43.37665747669686
10.367167472839355,98.91746641074856,43.37665747669686
