stock1,stock2,trade_capital,open,loss,reward,open_num
2002,3673,215.82350000000002,1.3000000000000007,23.0,-1.340874999999997,1
1909,9938,224.50537500000002,1.3000000000000007,23.0,0.6456250000000097,1
2308,2439,1162.8,1.3000000000000007,23.0,1.5567500000000791,1
2330,2371,244.812,3.3500000000000023,16.0,-0.37649999999997874,1
2448,2618,99.3234,1.3000000000000007,23.0,0.1413000000000011,1
2448,3532,248.5335,1.3000000000000007,23.0,0.3528749999999974,1
2439,2448,236.524,1.3000000000000007,23.0,0.6310750000000098,1
2439,2618,220.36900000000003,1.3000000000000007,23.0,0.6580000000000155,1
2439,3673,923.685,3.3500000000000023,16.0,5.04200000000003,1
2618,9938,168.839,1.3000000000000007,23.0,0.7292500000000217,1
